"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 837405.253538587 349941.239816299 222648.558103016 159235.173192930 125201.732512608 110598.738982785 109972.681199413 119289.459143312 135455.655528459 156156.989900418 179706.425623734 204897.520407946 230880.019214652 257062.430447721 283039.045796980 308536.883420537 333377.104256846 357447.746412760 380684.000062549 403054.272476638
"2" 898694.52140139 446129.707994185 296013.198296351 207640.184771816 147705.040345843 108546.515825936 86230.0533765498 77233.8131586961 78373.3016830624 86976.4791219078 100921.876924431 118581.221133715 138730.492031125 160461.53865201 183106.718959828 206179.016501357 229326.045730677 252295.325234274 274908.423654912 297041.809609087
"3" 940886.077100712 528486.390517122 368307.245156958 264334.389698072 186416.119235181 128947.040919542 89571.7441899632 65547.0741938092 53894.8545436401 51843.9607467119 57043.2541015415 67598.22734793 82027.1795425745 99191.2782255273 118224.473049869 138472.922804987 159445.434507055 180775.008381711 202188.922208526 223486.10979981
"4" 971417.583462613 596770.384084645 434860.328623239 321258.797388378 230469.286513433 159057.584688740 106194.3239622 69955.4719549439 47669.2486416453 36580.3521080549 34214.8841537867 38503.1841476955 47780.0987352524 60735.2853154516 76350.9605624975 93842.940876915 112609.961224139 132192.90761324 152242.376018559 172493.563714149
"5" 994955.623423649 652958.83983573 494230.883868445 375207.906898601 275139.620326858 192926.573067576 129245.964564936 82993.3390484797 51842.0512041888 33110.3125130278 24262.3662145649 23109.6293990076 27852.0533961325 37048.2792213509 49561.9089103759 64505.2203225956 81188.4604945614 99077.7399156434 117760.890390057 136920.595503843
"6" 1014865.03151962 699464.935513943 546380.184384327 424902.462467843 318220.720495137 227575.26112118 155128.556980467 100588.398689712 61992.0882834429 36765.7431435973 22351.0755504223 16478.6500469443 17247.5163931069 23114.3807036669 32848.5095403609 45478.6448749871 60242.8936526732 76545.8603506632 93923.589722765 112014.919268453
"7" 1033227.24764160 738408.109305448 591912.177250342 469983.863870585 358695.341921581 261459.817147988 181869.056759262 120425.146902165 75537.6054057452 44763.0248851592 25548.3624685271 15571.1506098098 12854.7668609974 15776.0561701068 23028.4855430205 33572.7076063241 46587.4204939677 61426.2288170976 77581.7900219899 94656.2718199535
"8" 1050970.80042756 771446.82150709 631663.86104045 510563.280552675 396166.667563632 293789.800796438 208359.345716024 141139.521682344 90911.2871611523 55376.1280083963 32006.4822521238 18447.8955052707 12667.7466552751 12980.1294992084 18017.3919183804 26684.3646944620 38110.5046175175 51606.8017545465 66629.4362384388 82749.5769862011
"9" 1068272.44073329 799825.703003203 666488.673032389 546978.867291675 430573.725509214 324192.878254478 233977.0990139 161907.734069592 107128.216723574 67492.7074099284 40513.5785986849 23820.4624697546 15340.0895288093 13337.4715419729 16395.5905293822 23373.3589013274 33359.2411283063 45628.4460778586 59606.3206842196 74837.6930718616
"10" 1084949.46919126 824470.79874194 697158.758730975 579655.79663907 462033.825642058 352535.612648762 258385.583941733 182228.726238793 123555.428988128 80374.9445918775 50248.9481398574 30803.5958219565 19936.8297109844 15875.4707580110 17162.6096761946 22619.2891673629 31299.7231611874 42448.950811061 55466.1389952961 69873.6277175166
