Time	Treatment	Replicate	Core	Depth	Blue	Red	Arcsine(Blue)	Arcsine(Red)	
t1	C	A	1	4	99.69272336	99.91537246	1.492382791	1.529652802	
t1	C	A	1	6	0.128575068	0.030475514	0.001285751	0.000304755	
t1	C	A	1	8	0.056999639	0.00631907	0.000569996	6.31907E-05	
t1	C	A	1	10	0.022752454	0.007598881	0.000227525	7.59888E-05	
t1	C	A	1	12	0.022633952	0.007118952	0.00022634	7.11895E-05	
t1	C	A	1	14	0.006399128	0.004879282	6.39913E-05	4.87928E-05	
t1	C	A	1	16	0.003555071	0.0013598	3.55507E-05	1.3598E-05	
t1	C	A	1	18	0.015701564	0.006399058	0.000157016	6.39906E-05	
t1	C	A	1	20	0.007050891	0.003839435	7.05089E-05	3.83943E-05	
t1	C	A	1	22	0.004266085	0.0013598	4.26609E-05	1.3598E-05	
t1	C	A	1	24	0.005036351	0.001519776	5.03635E-05	1.51978E-05	
t1	C	A	1	26	0.004621592	0.000399941	4.62159E-05	3.99941E-06	
t1	C	A	1	28	0.003318066	0.000399941	3.31807E-05	3.99941E-06	
t1	C	A	1	30	0.00100727	7.99882E-05	1.00727E-05	7.99882E-07	
t1	C	B	2	4	99.64532657	99.68548517	1.486548682	1.491464135	
t1	C	B	2	6	0.047119248	0.024756472	0.000471192	0.000247565	
t1	C	B	2	8	0.029047242	0.020020451	0.000290472	0.000200205	
t1	C	B	2	10	0.112393022	0.091060761	0.00112393	0.000910608	
t1	C	B	2	12	0.039197273	0.039610355	0.000391973	0.000396104	
t1	C	B	2	14	0.014606142	0.007749852	0.000146061	7.74985E-05	
t1	C	B	2	16	0.013615895	0.019589904	0.000136159	0.000195899	
t1	C	B	2	18	0.04315826	0.037027071	0.000431583	0.000370271	
t1	C	B	2	20	0.006766687	0.007965126	6.76669E-05	7.96513E-05	
t1	C	B	2	22	0.004126029	0.00645821	4.12603E-05	6.45821E-05	
t1	C	B	2	24	0.00569392	0.008395673	5.69392E-05	8.39567E-05	
t1	C	B	2	26	0.008994743	0.00645821	8.99474E-05	6.45821E-05	
t1	C	B	2	28	0.009242304	0.013346967	9.2423E-05	0.00013347	
t1	C	B	2	30	0.004043508	0.003659652	4.04351E-05	3.65965E-05	
t1	C	C	3	4	99.51755839	99.58394942	1.472528323	1.479545092	
t1	C	C	3	6	0.164438025	0.10707184	0.001644381	0.001070719	
t1	C	C	3	8	0.158647954	0.123999388	0.00158648	0.001239994	
t1	C	C	3	10	0.07874497	0.036302452	0.00078745	0.000363025	
t1	C	C	3	12	0.00919978	0.012848621	9.19978E-05	0.000128486	
t1	C	C	3	14	0.007720095	0.007749962	7.7201E-05	7.74996E-05	
t1	C	C	3	16	0.005018062	0.008565747	5.01806E-05	8.56575E-05	
t1	C	C	3	18	0.005597069	0.007342069	5.59707E-05	7.34207E-05	
t1	C	C	3	20	0.01029346	0.004690766	0.000102935	4.69077E-05	
t1	C	C	3	22	0.009843121	0.019374904	9.84312E-05	0.000193749	
t1	C	C	3	24	0.003860048	0.009381533	3.86005E-05	9.38153E-05	
t1	C	C	3	26	0.003409709	0.006322337	3.40971E-05	6.32234E-05	
t1	C	C	3	28	0.005790071	0.01794728	5.79007E-05	0.000179473	
t1	C	C	3	30	0.003474043	0.006934176	3.47404E-05	6.93418E-05	
t1	C	D	4	4	99.31826846	99.54255642	1.453962466	1.475110094	
t1	C	D	4	6	0.499936463	0.336411896	0.004999385	0.003364125	
t1	C	D	4	8	0.031253184	0.01851223	0.000312532	0.000185122	
t1	C	D	4	10	0.019003768	0.012767055	0.000190038	0.000127671	
t1	C	D	4	12	0.025300197	0.021576323	0.000253002	0.000215763	
t1	C	D	4	14	0.006639871	0.007915574	6.63987E-05	7.91557E-05	
t1	C	D	4	16	0.008242598	0.003957787	8.2426E-05	3.95779E-05	
t1	C	D	4	18	0.010188767	0.009702962	0.000101888	9.70296E-05	
t1	C	D	4	20	0.009616364	0.006383527	9.61636E-05	6.38353E-05	
t1	C	D	4	22	0.009272923	0.007532562	9.27292E-05	7.53256E-05	
t1	C	D	4	24	0.007899156	0.00689421	7.89916E-05	6.89421E-05	
t1	C	D	4	26	0.003090974	0.003064093	3.09097E-05	3.06409E-05	
t1	C	D	4	28	0.006639871	0.004085458	6.63987E-05	4.08546E-05	
t1	C	D	4	30	0.009730845	0.006638869	9.73084E-05	6.63887E-05	
t1	T1-	A	5	4	99.65636825	99.80575158	1.487871212	1.508456719	
t1	T1-	A	5	6	0.085636934	0.054239815	0.000856369	0.000542398	
t1	T1-	A	5	8	0.089159972	0.04176133	0.0008916	0.000417613	
t1	T1-	A	5	10	0.035862724	0.019799196	0.000358627	0.000197992	
t1	T1-	A	5	12	0.035230384	0.005989673	0.000352304	5.98967E-05	
t1	T1-	A	5	14	0.008762429	0.010981067	8.76243E-05	0.000109811	
t1	T1-	A	5	16	0.008943098	0.005656913	8.9431E-05	5.65691E-05	
t1	T1-	A	5	18	0.018066864	0.010481927	0.000180669	0.000104819	
t1	T1-	A	5	20	0.006233068	0.003660356	6.23307E-05	3.66036E-05	
t1	T1-	A	5	22	0.003703707	0.007736661	3.70371E-05	7.73666E-05	
t1	T1-	A	5	24	0.00334237	0.004575445	3.34237E-05	4.57544E-05	
t1	T1-	A	5	26	0.008039754	0.003577166	8.03975E-05	3.57717E-05	
t1	T1-	A	5	28	0.009846441	0.005490533	9.84644E-05	5.49053E-05	
t1	T1-	A	5	30	0.005058722	0.005324154	5.05872E-05	5.32415E-05	
t1	T1-	B	6	4	99.81291637	99.87234835	1.509617574	1.520263403	
t1	T1-	B	6	6	0.060899619	0.053282478	0.000608996	0.000532825	
t1	T1-	B	6	8	0.054566059	0.02777272	0.000545661	0.000277727	
