profile lum start end 
a	606			0	0.5	
a	31			0.5	1	
a	15			1	1.5	
a	2			1.5	2	
a	1			2	2.5	
a	0			2.5	3	
a	0			3	3.5	
a	0			3.5	4	
a	1			4	4.5	
a	1			4.5	5	
a	1			5	6	
a	3			6	7	
a	0			7	8	
a	0			8	9	
a	0			9	10	
a	0			10	11	
a	0			11	12	
a	0			12	14	
a	0			14	16	
a	0			16	18	
b	463			0	0.5	
b	22			0.5	1	
b	44			1	1.5	
b	32			1.5	2	
b	29			2	2.5	
b	1			2.5	3	
b	1			3	3.5	
b	0			3.5	4	
b	0			4	4.5	
b	0			4.5	5	
b	0			5	6	
b	0			6	7	
b	0			7	8	
b	0			8	9	
b	0			9	10	
b	0			10	11	
b	0			11	12	
b	0			12	14	
b	0			14	16	
b	0			16	18	         
