profile	slice	lum	start	end

1	1	606	0	0.5
1	2	31	0.5	1
1	3	15	1	1.5
1	4	2	1.5	2
1	5	1	2	2.5
1	6	0	2.5	3
1	7	0	3	3.5
1	8	0	3.5	4
1	9	1	4	4.5
1	10	1	4.5	5
1	11	1	5	6
1	12	3	6	7
1	13	0	7	8
1	14	0	8	9
1	15	0	9	10
1	16	0	10	12
1	17	0	11	12
1	18	0	12	14
1	19	0	14	16
1	20	0	16	18
2	1	29	0	0.5
2	2	9	0.5	1
2	3	1	1	1.5
2	4	4	1.5	2
2	5	2	2	2.5
2	6	0	2.5	3
2	7	9	3	3.5
2	8	0	3.5	4
2	9	1	4	4.5
2	10	1	4.5	5
2	11	1	5	6
2	12	0	6	7
2	13	0	7	8
2	14	1	8	9
2	15	1	9	10
2	16	1	10	12
2	17	1	11	12
2	18	3	12	14
2	19	1	14	16
2	20	5	16	18
3	1	201	0	0.5
3	2	81	0.5	1
3	3	13	1	1.5
3	4	15	1.5	2
3	5	10	2	2.5
3	6	6	2.5	3
3	7	1	3	3.5
3	8	2	3.5	4
3	9	1	4	4.5
3	10	0	4.5	5
3	11	3	5	6
3	12	1	6	7
3	13	0	7	8
3	14	0	8	9
3	15	0	9	10
3	16	0	10	12
3	17	1	11	12
3	18	0	12	14
3	19	0	14	16
3	20	1	16	18
4	1	1140	0	0.5
4	2	4	0.5	1
4	3	0	1	1.5
4	4	0	1.5	2
4	5	2	2	2.5
4	6	0	2.5	3
4	7	0	3	3.5
4	8	0	3.5	4
4	9	0	4	4.5
4	10	0	4.5	5
4	11	0	5	6
4	12	0	6	7
4	13	0	7	8
4	14	0	8	9
4	15	0	9	10
4	16	0	10	12
4	17	0	11	12
4	18	0	12	14
4	19	0	14	16
4	20	0	16	18
5	1	87	0	0.5
5	2	2	0.5	1
5	3	1	1	1.5
5	4	0	1.5	2
5	5	0	2	2.5
5	6	0	2.5	3
5	7	1	3	3.5
5	8	1	3.5	4
5	9	0	4	4.5
5	10	0	4.5	5
5	11	0	5	6
5	12	0	6	7
5	13	0	7	8
5	14	0	8	9
5	15	1	9	10
5	16	0	10	12
5	17	0	11	12
5	18	0	12	14
5	19	0	14	16
5	20	0	16	18
6	1	76	0	0.5
6	2	0	0.5	1
6	3	1	1	1.5
6	4	1	1.5	2
6	5	0	2	2.5
6	6	0	2.5	3
6	7	0	3	3.5
6	8	0	3.5	4
6	9	0	4	4.5
6	10	0	4.5	5
6	11	0	5	6
6	12	0	6	7
6	13	0	7	8
6	14	0	8	9
6	15	0	9	10
6	16	0	10	12
6	17	0	11	12
6	18	0	12	14
6	19	0	14	16
6	20	0	16	18
7	1	14	0	0.5
7	2	0	0.5	1
7	3	0	1	1.5
7	4	0	1.5	2
7	5	1	2	2.5
7	6	3	2.5	3
7	7	31	3	3.5
7	8	0	3.5	4
7	9	21	4	4.5
7	10	40	4.5	5
7	11	3	5	6
7	12	1	6	7
7	13	0	7	8
7	14	0	8	9
7	15	1	9	10
7	16	0	10	12
7	17	0	11	12
7	18	3	12	14
7	19	0	14	16
7	20	0	16	18
8	1	275	0	0.5
8	2	0	0.5	1
8	3	0	1	1.5
8	4	2	1.5	2
8	5	0	2	2.5
8	6	8	2.5	3
8	7	2	3	3.5
8	8	1	3.5	4
8	9	0	4	4.5
8	10	0	4.5	5
8	11	0	5	6
8	12	0	6	7
8	13	0	7	8
8	14	0	8	9
8	15	0	9	10
8	16	0	10	12
8	17	0	11	12
8	18	0	12	14
8	19	0	14	16
8	20	0	16	18
9	1	90	0	0.5
9	2	6	0.5	1
9	3	1	1	1.5
9	4	1	1.5	2
9	5	0	2	2.5
9	6	1	2.5	3
9	7	1	3	3.5
9	8	0	3.5	4
9	9	3	4	4.5
9	10	1	4.5	5
9	11	2	5	6
9	12	0	6	7
9	13	0	7	8
9	14	0	8	9
9	15	0	9	10
9	16	0	10	12
9	17	0	11	12
9	18	0	12	14
9	19	0	14	16
9	20	0	16	18
10	1	279	0	0.5
10	2	2	0.5	1
10	3	1	1	1.5
10	4	0	1.5	2
10	5	1	2	2.5
10	6	1	2.5	3
10	7	3	3	3.5
10	8	14	3.5	4
10	9	0	4	4.5
10	10	0	4.5	5
10	11	0	5	6
10	12	0	6	7
10	13	1	7	8
10	14	1	8	9
10	15	1	9	10
10	16	0	10	12
10	17	0	11	12
10	18	0	12	14
10	19	0	14	16
10	20	0	16	18
11	1	463	0	0.5
11	2	22	0.5	1
11	3	44	1	1.5
11	4	32	1.5	2
11	5	29	2	2.5
11	6	1	2.5	3
11	7	1	3	3.5
11	8	0	3.5	4
11	9	0	4	4.5
11	10	0	4.5	5
11	11	0	5	6
11	12	0	6	7
11	13	0	7	8
11	14	0	8	9
11	15	0	9	10
11	16	0	10	12
11	17	0	11	12
11	18	0	12	14
11	19	0	14	16
11	20	0	16	18
12	1	293	0	0.5
12	2	59	0.5	1
12	3	6	1	1.5
12	4	3	1.5	2
12	5	2	2	2.5
12	6	3	2.5	3
12	7	3	3	3.5
12	8	24	3.5	4
12	9	3	4	4.5
12	10	2	4.5	5
12	11	2	5	6
12	12	2	6	7
12	13	0	7	8
12	14	1	8	9
12	15	0	9	10
12	16	0	10	12
12	17	0	11	12
12	18	0	12	14
12	19	0	14	16
12	20	0	16	18
13	1	37	0	0.5
13	2	6	0.5	1
13	3	4	1	1.5
13	4	1	1.5	2
13	5	3	2	2.5
13	6	1	2.5	3
13	7	0	3	3.5
13	8	3	3.5	4
13	9	3	4	4.5
13	10	1	4.5	5
13	11	2	5	6
13	12	0	6	7
13	13	2	7	8
13	14	0	8	9
13	15	0	9	10
13	16	0	10	12
13	17	0	11	12
13	18	0	12	14
13	19	0	14	16
13	20	0	16	18
14	1	395	0	0.5
14	2	1	0.5	1
14	3	3	1	1.5
14	4	1	1.5	2
14	5	0	2	2.5
14	6	0	2.5	3
14	7	0	3	3.5
14	8	0	3.5	4
14	9	0	4	4.5
14	10	0	4.5	5
14	11	0	5	6
14	12	0	6	7
14	13	0	7	8
14	14	0	8	9
14	15	0	9	10
14	16	0	10	12
14	17	0	11	12
14	18	0	12	14
14	19	0	14	16
14	20	0	16	18
15	1	62	0	0.5
15	2	123	0.5	1
15	3	40	1	1.5
15	4	1	1.5	2
15	5	0	2	2.5
15	6	3	2.5	3
15	7	0	3	3.5
15	8	0	3.5	4
15	9	1	4	4.5
15	10	0	4.5	5
15	11	0	5	6
15	12	0	6	7
15	13	0	7	8
15	14	0	8	9
15	15	0	9	10
15	16	0	10	12
15	17	0	11	12
15	18	0	12	14
15	19	0	14	16
15	20	0	16	18
16B	1	498	0	0.5
16B	2	140	0.5	1
16B	3	137	1	1.5
16B	4	51	1.5	2
16B	5	61	2	2.5
16B	6	70	2.5	3
16B	7	37	3	3.5
16B	8	5	3.5	4
16B	9	1	4	4.5
16B	10	0	4.5	5
16B	11	1	5	6
16B	12	0	6	7
16B	13	1	7	8
16B	14	0	8	9
16B	15	0	9	10
16B	16	0	10	12
16B	17	0	11	12
16B	18	0	12	14
16B	19	0	14	16
16B	20	0	16	18
17	1	242	0	0.5
17	2	4	0.5	1
17	3	12	1	1.5
17	4	2	1.5	2
17	5	0	2	2.5
17	6	1	2.5	3
17	7	1	3	3.5
17	8	0	3.5	4
17	9	0	4	4.5
17	10	1	4.5	5
17	11	0	5	6
17	12	3	6	7
17	13	1	7	8
17	14	0	8	9
17	15	0	9	10
17	16	0	10	12
17	17	0	11	12
17	18	0	12	14
17	19	0	14	16
17	20	0	16	18
18	1	719	0	0.5
18	2	126	0.5	1
18	3	5	1	1.5
18	4	6	1.5	2
18	5	2	2	2.5
18	6	2	2.5	3
18	7	1	3	3.5
18	8	2	3.5	4
18	9	0	4	4.5
18	10	1	4.5	5
18	11	0	5	6
18	12	3	6	7
18	13	0	7	8
18	14	0	8	9
18	15	0	9	10
18	16	0	10	12
18	17	0	11	12
18	18	0	12	14
18	19	0	14	16
18	20	0	16	18
19	1	157	0	0.5
19	2	3	0.5	1
19	3	5	1	1.5
19	4	0	1.5	2
19	5	3	2	2.5
19	6	0	2.5	3
19	7	0	3	3.5
19	8	0	3.5	4
19	9	0	4	4.5
19	10	0	4.5	5
19	11	0	5	6
19	12	0	6	7
19	13	0	7	8
19	14	0	8	9
19	15	0	9	10
19	16	0	10	12
19	17	0	11	12
19	18	0	12	14
19	19	0	14	16
19	20	0	16	18
20	1	223	0	0.5
20	2	1	0.5	1
20	3	1	1	1.5
20	4	0	1.5	2
20	5	1	2	2.5
20	6	3	2.5	3
20	7	0	3	3.5
20	8	0	3.5	4
20	9	0	4	4.5
20	10	3	4.5	5
20	11	1	5	6
20	12	1	6	7
20	13	0	7	8
20	14	0	8	9
20	15	0	9	10
20	16	0	10	12
20	17	0	11	12
20	18	0	12	14
20	19	0	14	16
20	20	0	16	18
21	1	126	0	0.5
21	2	5	0.5	1
21	3	1	1	1.5
21	4	1	1.5	2
21	5	1	2	2.5
21	6	0	2.5	3
21	7	2	3	3.5
21	8	0	3.5	4
21	9	0	4	4.5
21	10	0	4.5	5
21	11	0	5	6
21	12	0	6	7
21	13	0	7	8
21	14	0	8	9
21	15	0	9	10
21	16	0	10	12
21	17	0	11	12
21	18	0	12	14
21	19	0	14	16
21	20	0	16	18
22	1	595	0	0.5
22	2	1	0.5	1
22	3	1	1	1.5
22	4	1	1.5	2
22	5	3	2	2.5
22	6	2	2.5	3
22	7	2	3	3.5
22	8	2	3.5	4
22	9	0	4	4.5
22	10	0	4.5	5
22	11	0	5	6
22	12	0	6	7
22	13	0	7	8
22	14	0	8	9
22	15	0	9	10
22	16	0	10	12
22	17	0	11	12
22	18	0	12	14
22	19	0	14	16
22	20	0	16	18
23	1	446	0	0.5
23	2	0	0.5	1
23	3	1	1	1.5
23	4	0	1.5	2
23	5	0	2	2.5
23	6	2	2.5	3
23	7	1	3	3.5
23	8	0	3.5	4
23	9	1	4	4.5
23	10	0	4.5	5
23	11	1	5	6
23	12	0	6	7
23	13	0	7	8
23	14	0	8	9
23	15	0	9	10
23	16	0	10	12
23	17	0	11	12
23	18	0	12	14
23	19	0	14	16
23	20	0	16	18
24	1	321	0	0.5
24	2	76	0.5	1
24	3	58	1	1.5
24	4	4	1.5	2
24	5	2	2	2.5
24	6	0	2.5	3
24	7	0	3	3.5
24	8	0	3.5	4
24	9	0	4	4.5
24	10	0	4.5	5
24	11	0	5	6
24	12	0	6	7
24	13	0	7	8
24	14	0	8	9
24	15	0	9	10
24	16	0	10	12
24	17	0	11	12
24	18	0	12	14
24	19	0	14	16
24	20	0	16	18
				
				
